lr-AdamW,step,loss,epoch
0.0001,49,,
,49,1.8606724739074707,0
0.0001,99,,
,99,1.67057466506958,0
0.0001,149,,
,149,1.9669077396392822,0
0.0001,199,,
,199,1.922751784324646,0
0.0001,249,,
,249,1.7816314697265625,0
0.0001,299,,
,299,1.8777285814285278,0
0.0001,349,,
,349,1.8350789546966553,0
0.0001,399,,
,399,2.1512959003448486,0
0.0001,449,,
,449,2.179514169692993,0
0.0001,499,,
,499,1.4390807151794434,0
0.0001,549,,
,549,1.5988502502441406,0
0.0001,599,,
,599,1.7683297395706177,0
0.0001,649,,
,649,1.9709831476211548,0
0.0001,699,,
,699,1.9037954807281494,0
0.0001,749,,
,749,1.596035122871399,0
